winner,roundname,home_score,away_behinds,away_score,year,home_behinds,away_goals,away_team,venue,home_goals,home_team,points_away,points_home,state
Richmond,Grand Final,60,12.0,108,2017,12.0,16.0,Richmond,M.C.G.,8.0,Adelaide,28.0,20.0,South Australia
Richmond,Round 1,121,5.0,95,2018,19.0,15.0,Carlton,M.C.G.,17.0,Richmond,20.0,36.0,Victoria
Essendon,Round 1,99,15.0,87,2018,15.0,12.0,Adelaide,Docklands,14.0,Essendon,27.0,29.0,Victoria
St Kilda,Round 1,107,10.0,82,2018,11.0,12.0,Brisbane Lions,Docklands,16.0,St Kilda,22.0,27.0,Victoria
Port Adelaide,Round 1,110,6.0,60,2018,14.0,9.0,Fremantle,Adelaide Oval,16.0,Port Adelaide,15.0,30.0,South Australia
Gold Coast,Round 1,55,9.0,39,2018,13.0,5.0,North Melbourne,Cazaly's Stadium,7.0,Gold Coast,14.0,20.0,Queensland
Hawthorn,Round 1,101,13.0,67,2018,11.0,9.0,Collingwood,M.C.G.,15.0,Hawthorn,22.0,26.0,Victoria
Greater Western Sydney,Round 1,133,9.0,51,2018,13.0,7.0,Western Bulldogs,UNSW Canberra Oval,20.0,Greater Western Sydney,16.0,33.0,New South Wales
Geelong,Round 1,94,13.0,97,2018,16.0,14.0,Geelong,M.C.G.,13.0,Melbourne,27.0,29.0,Victoria
Sydney,Round 1,86,7.0,115,2018,8.0,18.0,Sydney,Optus Stadium,13.0,West Coast,25.0,21.0,Western Australia
Adelaide,Round 2,118,10.0,82,2018,10.0,12.0,Richmond,Adelaide Oval,18.0,Adelaide,22.0,28.0,South Australia
North Melbourne,Round 2,95,13.0,43,2018,17.0,5.0,St Kilda,Docklands,13.0,North Melbourne,18.0,30.0,Victoria
Gold Coast,Round 2,67,11.0,101,2018,13.0,15.0,Gold Coast,Docklands,9.0,Carlton,26.0,22.0,Victoria
Greater Western Sydney,Round 2,79,5.0,95,2018,7.0,15.0,Greater Western Sydney,M.C.G.,12.0,Collingwood,20.0,19.0,Victoria
Melbourne,Round 2,74,16.0,100,2018,14.0,14.0,Melbourne,Gabba,10.0,Brisbane Lions,30.0,24.0,Queensland
Fremantle,Round 2,106,6.0,90,2018,10.0,14.0,Essendon,Optus Stadium,16.0,Fremantle,20.0,26.0,Western Australia
West Coast,Round 2,70,13.0,121,2018,16.0,18.0,West Coast,Docklands,9.0,Western Bulldogs,31.0,25.0,Victoria
Port Adelaide,Round 2,71,10.0,94,2018,11.0,14.0,Port Adelaide,S.C.G.,10.0,Sydney,24.0,21.0,New South Wales
Hawthorn,Round 2,117,16.0,118,2018,9.0,17.0,Hawthorn,M.C.G.,18.0,Geelong,33.0,27.0,Victoria
Collingwood,Round 3,76,4.0,100,2018,10.0,16.0,Collingwood,M.C.G.,11.0,Carlton,20.0,21.0,Victoria
Port Adelaide,Round 3,97,8.0,92,2018,13.0,14.0,Brisbane Lions,Adelaide Oval,14.0,Port Adelaide,22.0,27.0,South Australia
Melbourne,Round 3,123,8.0,86,2018,15.0,13.0,North Melbourne,M.C.G.,18.0,Melbourne,21.0,33.0,Victoria
Fremantle,Round 3,68,18.0,96,2018,8.0,13.0,Fremantle,Optus Stadium,10.0,Gold Coast,31.0,18.0,Queensland
Sydney,Round 3,103,15.0,87,2018,7.0,12.0,Greater Western Sydney,S.C.G.,16.0,Sydney,27.0,23.0,New South Wales
Adelaide,Round 3,55,14.0,104,2018,13.0,15.0,Adelaide,Docklands,7.0,St Kilda,29.0,20.0,Victoria
Richmond,Round 3,102,11.0,89,2018,12.0,13.0,Hawthorn,M.C.G.,15.0,Richmond,24.0,27.0,Victoria
Western Bulldogs,Round 3,104,11.0,83,2018,20.0,12.0,Essendon,Docklands,14.0,Western Bulldogs,23.0,34.0,Victoria
West Coast,Round 3,95,14.0,80,2018,11.0,11.0,Geelong,Optus Stadium,14.0,West Coast,25.0,25.0,Western Australia
Collingwood,Round 4,58,10.0,106,2018,4.0,16.0,Collingwood,Adelaide Oval,9.0,Adelaide,26.0,13.0,South Australia
Greater Western Sydney,Round 4,82,9.0,51,2018,16.0,7.0,Fremantle,UNSW Canberra Oval,11.0,Greater Western Sydney,16.0,27.0,New South Wales
Richmond,Round 4,110,5.0,17,2018,14.0,2.0,Brisbane Lions,M.C.G.,16.0,Richmond,7.0,30.0,Victoria
Sydney,Round 4,79,8.0,86,2018,13.0,13.0,Sydney,Docklands,11.0,Western Bulldogs,21.0,24.0,Victoria
North Melbourne,Round 4,116,6.0,30,2018,8.0,4.0,Carlton,Bellerive Oval,18.0,North Melbourne,10.0,26.0,Victoria
West Coast,Round 4,139,5.0,59,2018,13.0,9.0,Gold Coast,Optus Stadium,21.0,West Coast,14.0,34.0,Western Australia
Essendon,Round 4,106,12.0,84,2018,10.0,12.0,Port Adelaide,Docklands,16.0,Essendon,24.0,26.0,Victoria
Hawthorn,Round 4,115,12.0,48,2018,7.0,6.0,Melbourne,M.C.G.,18.0,Hawthorn,18.0,25.0,Victoria
Geelong,Round 4,103,14.0,56,2018,13.0,7.0,St Kilda,GMHBA Stadium,15.0,Geelong,21.0,28.0,Victoria
Adelaide,Round 5,75,13.0,85,2018,15.0,12.0,Adelaide,S.C.G.,10.0,Sydney,25.0,25.0,New South Wales
,Round 5,73,19.0,73,2018,13.0,9.0,Greater Western Sydney,Docklands,10.0,St Kilda,28.0,23.0,Victoria
West Coast,Round 5,69,19.0,79,2018,9.0,10.0,West Coast,M.C.G.,10.0,Carlton,29.0,19.0,Victoria
Geelong,Round 5,50,12.0,84,2018,8.0,12.0,Geelong,Adelaide Oval,7.0,Port Adelaide,24.0,15.0,South Australia
Fremantle,Round 5,108,6.0,54,2018,12.0,8.0,Western Bulldogs,Optus Stadium,16.0,Fremantle,14.0,28.0,Western Australia
North Melbourne,Round 5,98,4.0,70,2018,14.0,11.0,Hawthorn,Docklands,14.0,North Melbourne,15.0,28.0,Victoria
Gold Coast,Round 5,71,10.0,76,2018,11.0,11.0,Gold Coast,Gabba,10.0,Brisbane Lions,21.0,21.0,Queensland
Richmond,Round 5,56,12.0,102,2018,8.0,15.0,Richmond,M.C.G.,8.0,Melbourne,27.0,16.0,Victoria
Collingwood,Round 5,101,10.0,52,2018,17.0,7.0,Essendon,M.C.G.,14.0,Collingwood,17.0,31.0,Victoria
Western Bulldogs,Round 6,80,11.0,59,2018,14.0,8.0,Carlton,Docklands,11.0,Western Bulldogs,19.0,25.0,Victoria
Sydney,Round 6,69,14.0,86,2018,9.0,12.0,Sydney,GMHBA Stadium,10.0,Geelong,26.0,19.0,Victoria
Port Adelaide,Round 6,69,12.0,102,2018,9.0,15.0,Port Adelaide,Docklands,10.0,North Melbourne,27.0,19.0,Victoria
Greater Western Sydney,Round 6,77,13.0,43,2018,17.0,5.0,Brisbane Lions,Sydney Showground,10.0,Greater Western Sydney,18.0,27.0,New South Wales
Hawthorn,Round 6,89,12.0,54,2018,11.0,7.0,St Kilda,University of Tasmania Stadium,13.0,Hawthorn,19.0,24.0,Victoria
Adelaide,Round 6,110,8.0,62,2018,14.0,9.0,Gold Coast,Adelaide Oval,16.0,Adelaide,17.0,30.0,South Australia
Melbourne,Round 6,72,12.0,108,2018,12.0,16.0,Melbourne,Docklands,10.0,Essendon,28.0,22.0,Victoria
Richmond,Round 6,70,17.0,113,2018,10.0,16.0,Richmond,M.C.G.,10.0,Collingwood,33.0,20.0,Victoria
West Coast,Round 6,81,11.0,89,2018,9.0,13.0,West Coast,Optus Stadium,12.0,Fremantle,24.0,21.0,Western Australia
Geelong,Round 7,93,8.0,32,2018,9.0,4.0,Greater Western Sydney,GMHBA Stadium,14.0,Geelong,12.0,23.0,Victoria
Western Bulldogs,Round 7,81,12.0,72,2018,15.0,10.0,Gold Coast,Mars Stadium,11.0,Western Bulldogs,22.0,26.0,Victoria
Hawthorn,Round 7,67,12.0,90,2018,7.0,13.0,Hawthorn,M.C.G.,10.0,Essendon,25.0,17.0,Victoria
West Coast,Round 7,102,6.0,60,2018,6.0,9.0,Port Adelaide,Optus Stadium,16.0,West Coast,15.0,22.0,Western Australia
North Melbourne,Round 7,66,14.0,68,2018,12.0,9.0,North Melbourne,S.C.G.,9.0,Sydney,23.0,21.0,New South Wales
Adelaide,Round 7,125,10.0,70,2018,11.0,10.0,Carlton,Adelaide Oval,19.0,Adelaide,20.0,30.0,South Australia
Richmond,Round 7,110,9.0,33,2018,20.0,4.0,Fremantle,M.C.G.,15.0,Richmond,13.0,35.0,Victoria
Melbourne,Round 7,67,10.0,106,2018,13.0,16.0,Melbourne,Docklands,9.0,St Kilda,26.0,22.0,Victoria
Collingwood,Round 7,114,7.0,121,2018,6.0,19.0,Collingwood,Gabba,18.0,Brisbane Lions,26.0,24.0,Queensland
Sydney,Round 8,71,7.0,79,2018,11.0,12.0,Sydney,M.C.G.,10.0,Hawthorn,19.0,21.0,Victoria
West Coast,Round 8,61,14.0,86,2018,13.0,12.0,West Coast,Sydney Showground,8.0,Greater Western Sydney,26.0,21.0,New South Wales
Carlton,Round 8,91,18.0,78,2018,7.0,10.0,Essendon,M.C.G.,14.0,Carlton,28.0,21.0,Victoria
Melbourne,Round 8,77,20.0,146,2018,11.0,21.0,Melbourne,Gabba,11.0,Gold Coast,41.0,22.0,Queensland
Port Adelaide,Round 8,95,6.0,90,2018,11.0,14.0,Adelaide,Adelaide Oval,14.0,Port Adelaide,20.0,25.0,South Australia
Western Bulldogs,Round 8,107,9.0,93,2018,11.0,14.0,Brisbane Lions,Docklands,16.0,Western Bulldogs,23.0,27.0,Victoria
Fremantle,Round 8,89,11.0,59,2018,11.0,8.0,St Kilda,Optus Stadium,13.0,Fremantle,19.0,24.0,Western Australia
Richmond,Round 8,72,10.0,82,2018,6.0,12.0,Richmond,Docklands,11.0,North Melbourne,22.0,17.0,Victoria
Geelong,Round 8,45,12.0,66,2018,15.0,9.0,Geelong,M.C.G.,5.0,Collingwood,21.0,20.0,Victoria
Adelaide,Round 9,63,14.0,26,2018,9.0,2.0,Western Bulldogs,Adelaide Oval,9.0,Adelaide,16.0,18.0,South Australia
North Melbourne,Round 9,112,15.0,69,2018,10.0,9.0,Greater Western Sydney,Bellerive Oval,17.0,North Melbourne,24.0,27.0,Victoria
Port Adelaide,Round 9,42,16.0,82,2018,6.0,11.0,Port Adelaide,Adelaide Arena at Jiangwan Stadium,6.0,Gold Coast,27.0,12.0,Queensland
Essendon,Round 9,84,8.0,50,2018,12.0,7.0,Geelong,M.C.G.,12.0,Essendon,15.0,24.0,Victoria
Sydney,Round 9,111,10.0,52,2018,9.0,7.0,Fremantle,S.C.G.,17.0,Sydney,17.0,26.0,New South Wales
Collingwood,Round 9,72,10.0,100,2018,12.0,15.0,Collingwood,Docklands,10.0,St Kilda,25.0,22.0,Victoria
Melbourne,Round 9,50,9.0,159,2018,8.0,25.0,Melbourne,M.C.G.,7.0,Carlton,34.0,15.0,Victoria
Brisbane Lions,Round 9,129,7.0,73,2018,9.0,11.0,Hawthorn,Gabba,20.0,Brisbane Lions,18.0,29.0,Queensland
West Coast,Round 9,130,11.0,83,2018,10.0,12.0,Richmond,Optus Stadium,20.0,West Coast,23.0,30.0,Western Australia
Collingwood,Round 10,90,7.0,55,2018,12.0,8.0,Western Bulldogs,Docklands,13.0,Collingwood,15.0,25.0,Victoria
Richmond,Round 10,105,5.0,77,2018,15.0,12.0,St Kilda,M.C.G.,15.0,Richmond,17.0,30.0,Victoria
Sydney,Round 10,49,7.0,67,2018,13.0,10.0,Sydney,Gabba,6.0,Brisbane Lions,17.0,19.0,Queensland
Geelong,Round 10,73,15.0,45,2018,7.0,5.0,Carlton,GMHBA Stadium,11.0,Geelong,20.0,18.0,Victoria
Essendon,Round 10,60,11.0,95,2018,12.0,14.0,Essendon,Sydney Showground,8.0,Greater Western Sydney,25.0,20.0,New South Wales
West Coast,Round 10,60,9.0,75,2018,6.0,11.0,West Coast,Docklands,9.0,Hawthorn,20.0,15.0,Victoria
Melbourne,Round 10,146,7.0,55,2018,8.0,8.0,Adelaide,Traeger Park,23.0,Melbourne,15.0,31.0,Victoria
North Melbourne,Round 10,58,14.0,86,2018,10.0,12.0,North Melbourne,Optus Stadium,8.0,Fremantle,26.0,18.0,Western Australia
Sydney,Round 11,91,7.0,61,2018,13.0,9.0,Carlton,S.C.G.,13.0,Sydney,16.0,26.0,New South Wales
Melbourne,Round 11,51,10.0,100,2018,9.0,15.0,Melbourne,Docklands,7.0,Western Bulldogs,25.0,16.0,Victoria
Hawthorn,Round 11,64,7.0,61,2018,10.0,9.0,Port Adelaide,University of Tasmania Stadium,9.0,Hawthorn,16.0,19.0,Victoria
Geelong,Round 11,36,19.0,121,2018,12.0,17.0,Geelong,Carrara,4.0,Gold Coast,36.0,16.0,Queensland
Richmond,Round 11,43,12.0,114,2018,7.0,17.0,Richmond,M.C.G.,6.0,Essendon,29.0,13.0,Victoria
West Coast,Round 11,101,4.0,88,2018,5.0,14.0,St Kilda,Optus Stadium,16.0,West Coast,18.0,21.0,Western Australia
North Melbourne,Round 11,141,15.0,87,2018,15.0,12.0,Brisbane Lions,Docklands,21.0,North Melbourne,27.0,36.0,Victoria
Collingwood,Round 11,138,5.0,77,2018,12.0,12.0,Fremantle,M.C.G.,21.0,Collingwood,17.0,33.0,Victoria
Greater Western Sydney,Round 11,81,13.0,97,2018,15.0,14.0,Greater Western Sydney,Adelaide Oval,11.0,Adelaide,27.0,26.0,South Australia
Port Adelaide,Round 12,72,10.0,58,2018,12.0,8.0,Richmond,Adelaide Oval,10.0,Port Adelaide,18.0,22.0,South Australia
Geelong,Round 12,96,11.0,59,2018,12.0,8.0,North Melbourne,GMHBA Stadium,14.0,Geelong,19.0,26.0,Victoria
Greater Western Sydney,Round 12,134,2.0,26,2018,14.0,4.0,Gold Coast,Sydney Showground,20.0,Greater Western Sydney,6.0,34.0,New South Wales
Sydney,Round 12,55,12.0,126,2018,13.0,19.0,Sydney,Docklands,7.0,St Kilda,31.0,20.0,Victoria
Essendon,Round 12,62,12.0,84,2018,14.0,12.0,Essendon,Gabba,8.0,Brisbane Lions,24.0,22.0,Queensland
Fremantle,Round 12,71,14.0,68,2018,11.0,9.0,Adelaide,Optus Stadium,10.0,Fremantle,23.0,21.0,Western Australia
Collingwood,Round 12,91,13.0,133,2018,7.0,20.0,Collingwood,M.C.G.,14.0,Melbourne,33.0,21.0,Victoria
Port Adelaide,Round 13,132,9.0,75,2018,12.0,11.0,Western Bulldogs,Adelaide Oval,20.0,Port Adelaide,20.0,32.0,South Australia
Sydney,Round 13,72,15.0,57,2018,12.0,7.0,West Coast,S.C.G.,10.0,Sydney,22.0,22.0,New South Wales
Fremantle,Round 13,46,13.0,103,2018,10.0,15.0,Fremantle,Docklands,6.0,Carlton,28.0,16.0,Victoria
St Kilda,Round 13,78,14.0,80,2018,12.0,11.0,St Kilda,Carrara,11.0,Gold Coast,25.0,23.0,Queensland
Hawthorn,Round 13,88,8.0,32,2018,16.0,4.0,Adelaide,M.C.G.,12.0,Hawthorn,12.0,28.0,Victoria
Richmond,Round 13,65,11.0,83,2018,11.0,12.0,Richmond,M.C.G.,9.0,Geelong,23.0,20.0,Victoria
Essendon,Round 14,52,8.0,80,2018,16.0,12.0,Essendon,Optus Stadium,6.0,West Coast,20.0,22.0,Western Australia
Port Adelaide,Round 14,75,11.0,65,2018,9.0,9.0,Melbourne,Adelaide Oval,11.0,Port Adelaide,20.0,20.0,South Australia
Hawthorn,Round 14,96,13.0,43,2018,18.0,5.0,Gold Coast,University of Tasmania Stadium,13.0,Hawthorn,18.0,31.0,Victoria
Greater Western Sydney,Round 14,82,13.0,109,2018,10.0,16.0,Greater Western Sydney,Gabba,12.0,Brisbane Lions,29.0,22.0,Queensland
North Melbourne,Round 14,75,5.0,77,2018,9.0,12.0,North Melbourne,Docklands,11.0,Western Bulldogs,17.0,20.0,Victoria
Collingwood,Round 14,79,5.0,59,2018,13.0,9.0,Carlton,M.C.G.,11.0,Collingwood,14.0,24.0,Victoria
Richmond,Round 15,93,1.0,67,2018,9.0,11.0,Sydney,Docklands,14.0,Richmond,12.0,23.0,Victoria
Western Bulldogs,Round 15,103,11.0,101,2018,7.0,15.0,Geelong,Docklands,16.0,Western Bulldogs,26.0,23.0,Victoria
Port Adelaide,Round 15,69,12.0,90,2018,9.0,13.0,Port Adelaide,M.C.G.,10.0,Carlton,25.0,19.0,Victoria
Adelaide,Round 15,88,6.0,78,2018,16.0,12.0,West Coast,Adelaide Oval,12.0,Adelaide,18.0,28.0,South Australia
Collingwood,Round 15,60,15.0,99,2018,12.0,14.0,Collingwood,Carrara,8.0,Gold Coast,29.0,20.0,Queensland
Greater Western Sydney,Round 15,95,6.0,84,2018,17.0,13.0,Hawthorn,Sydney Showground,13.0,Greater Western Sydney,19.0,30.0,New South Wales
St Kilda,Round 15,117,11.0,119,2018,9.0,18.0,St Kilda,M.C.G.,18.0,Melbourne,29.0,27.0,Victoria
Essendon,Round 15,125,12.0,108,2018,11.0,16.0,North Melbourne,Docklands,19.0,Essendon,28.0,30.0,Victoria
Brisbane Lions,Round 15,64,11.0,119,2018,10.0,18.0,Brisbane Lions,Optus Stadium,9.0,Fremantle,29.0,19.0,Western Australia
Geelong,Round 16,59,23.0,71,2018,5.0,8.0,Geelong,S.C.G.,9.0,Sydney,31.0,14.0,New South Wales
Richmond,Round 16,103,8.0,56,2018,13.0,8.0,Adelaide,M.C.G.,15.0,Richmond,16.0,28.0,Victoria
Brisbane Lions,Round 16,120,13.0,55,2018,12.0,7.0,Carlton,Gabba,18.0,Brisbane Lions,20.0,30.0,Queensland
Port Adelaide,Round 16,86,8.0,50,2018,14.0,7.0,St Kilda,Adelaide Oval,12.0,Port Adelaide,15.0,26.0,South Australia
Hawthorn,Round 16,59,8.0,122,2018,5.0,19.0,Hawthorn,Docklands,9.0,Western Bulldogs,27.0,14.0,Victoria
Melbourne,Round 16,102,6.0,48,2018,24.0,7.0,Fremantle,Marrara Oval,13.0,Melbourne,13.0,37.0,Victoria
North Melbourne,Round 16,95,10.0,58,2018,11.0,8.0,Gold Coast,Docklands,14.0,North Melbourne,18.0,25.0,Victoria
Collingwood,Round 16,62,6.0,78,2018,8.0,12.0,Collingwood,M.C.G.,9.0,Essendon,18.0,17.0,Victoria
West Coast,Round 16,86,15.0,75,2018,8.0,10.0,Greater Western Sydney,Optus Stadium,13.0,West Coast,25.0,21.0,Western Australia
Adelaide,Round 17,112,13.0,97,2018,16.0,14.0,Geelong,Adelaide Oval,16.0,Adelaide,27.0,32.0,South Australia
St Kilda,Round 17,116,10.0,52,2018,20.0,7.0,Carlton,Docklands,16.0,St Kilda,17.0,36.0,Victoria
Brisbane Lions,Round 17,65,8.0,98,2018,11.0,15.0,Brisbane Lions,University of Tasmania Stadium,9.0,Hawthorn,23.0,20.0,Victoria
Melbourne,Round 17,119,9.0,69,2018,11.0,10.0,Western Bulldogs,M.C.G.,18.0,Melbourne,19.0,29.0,Victoria
Essendon,Round 17,51,17.0,95,2018,15.0,13.0,Essendon,Carrara,6.0,Gold Coast,30.0,21.0,Queensland
Greater Western Sydney,Round 17,79,17.0,77,2018,13.0,10.0,Richmond,Sydney Showground,11.0,Greater Western Sydney,27.0,24.0,New South Wales
West Coast,Round 17,67,12.0,102,2018,13.0,15.0,West Coast,M.C.G.,9.0,Collingwood,27.0,22.0,Victoria
Sydney,Round 17,98,8.0,104,2018,8.0,16.0,Sydney,Docklands,15.0,North Melbourne,24.0,23.0,Victoria
Fremantle,Round 17,59,8.0,50,2018,11.0,7.0,Port Adelaide,Optus Stadium,8.0,Fremantle,15.0,19.0,Western Australia
Richmond,Round 18,57,15.0,111,2018,9.0,16.0,Richmond,Docklands,8.0,St Kilda,31.0,17.0,Victoria
Collingwood,Round 18,130,10.0,64,2018,10.0,9.0,North Melbourne,M.C.G.,20.0,Collingwood,19.0,30.0,Victoria
Gold Coast,Round 18,64,16.0,88,2018,16.0,12.0,Gold Coast,S.C.G.,8.0,Sydney,28.0,24.0,New South Wales
Essendon,Round 18,99,4.0,70,2018,21.0,11.0,Fremantle,Docklands,13.0,Essendon,15.0,34.0,Victoria
Adelaide,Round 18,88,15.0,93,2018,10.0,13.0,Adelaide,Gabba,13.0,Brisbane Lions,28.0,23.0,Queensland
Geelong,Round 18,100,14.0,98,2018,4.0,14.0,Melbourne,GMHBA Stadium,16.0,Geelong,28.0,20.0,Victoria
Hawthorn,Round 18,52,16.0,124,2018,10.0,18.0,Hawthorn,Docklands,7.0,Carlton,34.0,17.0,Victoria
West Coast,Round 18,100,10.0,46,2018,16.0,6.0,Western Bulldogs,Optus Stadium,14.0,West Coast,16.0,30.0,Western Australia
Greater Western Sydney,Round 18,58,14.0,80,2018,10.0,11.0,Greater Western Sydney,Adelaide Oval,8.0,Port Adelaide,25.0,18.0,South Australia
Essendon,Round 19,109,6.0,66,2018,19.0,10.0,Sydney,Docklands,15.0,Essendon,16.0,34.0,Victoria
Richmond,Round 19,105,5.0,77,2018,9.0,12.0,Collingwood,M.C.G.,16.0,Richmond,17.0,25.0,Victoria
Geelong,Round 19,120,12.0,78,2018,12.0,11.0,Brisbane Lions,GMHBA Stadium,18.0,Geelong,23.0,30.0,Victoria
Greater Western Sydney,Round 19,86,13.0,61,2018,8.0,8.0,St Kilda,Sydney Showground,13.0,Greater Western Sydney,21.0,21.0,New South Wales
Carlton,Round 19,44,7.0,79,2018,14.0,12.0,Carlton,Carrara,5.0,Gold Coast,19.0,19.0,Queensland
Melbourne,Round 19,77,12.0,90,2018,17.0,13.0,Melbourne,Adelaide Oval,10.0,Adelaide,25.0,27.0,South Australia
North Melbourne,Round 19,81,5.0,41,2018,9.0,6.0,West Coast,Bellerive Oval,12.0,North Melbourne,11.0,21.0,Victoria
Port Adelaide,Round 19,34,12.0,78,2018,4.0,11.0,Port Adelaide,Mars Stadium,5.0,Western Bulldogs,23.0,9.0,Victoria
Hawthorn,Round 19,53,10.0,112,2018,11.0,17.0,Hawthorn,Optus Stadium,7.0,Fremantle,27.0,18.0,Western Australia
Richmond,Round 20,85,10.0,82,2018,13.0,12.0,Geelong,M.C.G.,12.0,Richmond,22.0,25.0,Victoria
Hawthorn,Round 20,107,7.0,103,2018,11.0,16.0,Essendon,M.C.G.,16.0,Hawthorn,23.0,27.0,Victoria
North Melbourne,Round 20,104,11.0,107,2018,8.0,16.0,North Melbourne,Gabba,16.0,Brisbane Lions,27.0,24.0,Queensland
Adelaide,Round 20,96,9.0,93,2018,18.0,14.0,Port Adelaide,Adelaide Oval,13.0,Adelaide,23.0,31.0,South Australia
Western Bulldogs,Round 20,68,13.0,103,2018,14.0,15.0,Western Bulldogs,Docklands,9.0,St Kilda,28.0,23.0,Victoria
Sydney,Round 20,73,11.0,71,2018,7.0,10.0,Collingwood,S.C.G.,11.0,Sydney,21.0,18.0,New South Wales
Greater Western Sydney,Round 20,46,13.0,151,2018,4.0,23.0,Greater Western Sydney,Docklands,7.0,Carlton,36.0,11.0,Victoria
Melbourne,Round 20,143,5.0,47,2018,17.0,7.0,Gold Coast,M.C.G.,21.0,Melbourne,12.0,38.0,Victoria
West Coast,Round 20,142,6.0,84,2018,16.0,13.0,Fremantle,Optus Stadium,21.0,West Coast,19.0,37.0,Western Australia
Essendon,Round 21,122,13.0,79,2018,14.0,11.0,St Kilda,Docklands,18.0,Essendon,24.0,32.0,Victoria
Hawthorn,Round 21,71,12.0,60,2018,11.0,8.0,Geelong,M.C.G.,10.0,Hawthorn,20.0,21.0,Victoria
Richmond,Round 21,51,11.0,125,2018,9.0,19.0,Richmond,Carrara,7.0,Gold Coast,30.0,16.0,Queensland
West Coast,Round 21,58,8.0,62,2018,4.0,9.0,West Coast,Adelaide Oval,9.0,Port Adelaide,17.0,13.0,South Australia
Collingwood,Round 21,104,7.0,73,2018,20.0,11.0,Brisbane Lions,Docklands,14.0,Collingwood,18.0,34.0,Victoria
Greater Western Sydney,Round 21,106,14.0,92,2018,16.0,13.0,Adelaide,UNSW Canberra Oval,15.0,Greater Western Sydney,27.0,31.0,New South Wales
Western Bulldogs,Round 21,85,14.0,92,2018,13.0,13.0,Western Bulldogs,Docklands,12.0,North Melbourne,27.0,25.0,Victoria
Sydney,Round 21,78,9.0,87,2018,18.0,13.0,Sydney,M.C.G.,10.0,Melbourne,22.0,28.0,Victoria
Fremantle,Round 21,101,12.0,72,2018,11.0,10.0,Carlton,Optus Stadium,15.0,Fremantle,22.0,26.0,Western Australia
Richmond,Round 22,81,7.0,73,2018,9.0,11.0,Essendon,M.C.G.,12.0,Richmond,18.0,21.0,Victoria
Collingwood,Round 22,115,4.0,64,2018,13.0,10.0,Port Adelaide,M.C.G.,17.0,Collingwood,14.0,30.0,Victoria
Geelong,Round 22,158,7.0,25,2018,14.0,3.0,Fremantle,GMHBA Stadium,24.0,Geelong,10.0,38.0,Victoria
Sydney,Round 22,60,14.0,80,2018,12.0,11.0,Sydney,Sydney Showground,8.0,Greater Western Sydney,25.0,20.0,New South Wales
Brisbane Lions,Round 22,74,18.0,78,2018,8.0,10.0,Brisbane Lions,Carrara,11.0,Gold Coast,28.0,19.0,Queensland
Hawthorn,Round 22,76,8.0,80,2018,10.0,12.0,Hawthorn,Docklands,11.0,St Kilda,20.0,21.0,Victoria
Western Bulldogs,Round 22,49,6.0,66,2018,7.0,10.0,Western Bulldogs,Docklands,7.0,Carlton,16.0,14.0,Victoria
Melbourne,Round 22,91,12.0,108,2018,7.0,16.0,Melbourne,Optus Stadium,14.0,West Coast,28.0,21.0,Western Australia
Adelaide,Round 22,86,11.0,77,2018,14.0,11.0,North Melbourne,Adelaide Oval,12.0,Adelaide,22.0,26.0,South Australia
Adelaide,Round 23,61,9.0,165,2018,13.0,26.0,Adelaide,Docklands,8.0,Carlton,35.0,21.0,Victoria
Geelong,Round 23,142,10.0,40,2018,10.0,5.0,Gold Coast,GMHBA Stadium,22.0,Geelong,15.0,32.0,Victoria
Richmond,Round 23,98,11.0,95,2018,8.0,14.0,Western Bulldogs,M.C.G.,15.0,Richmond,25.0,23.0,Victoria
Hawthorn,Round 23,74,11.0,83,2018,14.0,12.0,Hawthorn,S.C.G.,10.0,Sydney,23.0,24.0,New South Wales
West Coast,Round 23,72,14.0,98,2018,6.0,14.0,West Coast,Gabba,11.0,Brisbane Lions,28.0,17.0,Queensland
North Melbourne,Round 23,94,15.0,117,2018,10.0,17.0,North Melbourne,Docklands,14.0,St Kilda,32.0,24.0,Victoria
Melbourne,Round 23,102,9.0,57,2018,12.0,8.0,Greater Western Sydney,M.C.G.,15.0,Melbourne,17.0,27.0,Victoria
Essendon,Round 23,89,9.0,111,2018,11.0,17.0,Essendon,Adelaide Oval,13.0,Port Adelaide,26.0,24.0,South Australia
Collingwood,Round 23,67,10.0,76,2018,13.0,11.0,Collingwood,Optus Stadium,9.0,Fremantle,21.0,22.0,Western Australia
Richmond,Round 1,92,11.0,83,2016,8.0,12.0,Carlton,M.C.G.,14.0,Richmond,23.0,22.0,Victoria
Melbourne,Round 1,80,18.0,78,2016,8.0,10.0,Greater Western Sydney,M.C.G.,12.0,Melbourne,28.0,20.0,Victoria
Gold Coast,Round 1,121,6.0,60,2016,19.0,9.0,Essendon,Carrara,17.0,Gold Coast,15.0,36.0,Queensland
Sydney,Round 1,133,11.0,53,2016,25.0,7.0,Collingwood,S.C.G.,18.0,Sydney,18.0,43.0,New South Wales
North Melbourne,Round 1,107,13.0,97,2016,11.0,14.0,Adelaide,Docklands,16.0,North Melbourne,27.0,27.0,Victoria
Western Bulldogs,Round 1,103,8.0,38,2016,13.0,5.0,Fremantle,Docklands,15.0,Western Bulldogs,13.0,28.0,Victoria
